2025-12-31 17:10:03 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:10:03 | INFO     | __main__ | ============================================================
2025-12-31 17:10:03 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:10:03 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:10:03 | INFO     | trading_engine | Updating trading universe...
2025-12-31 17:10:03 | INFO     | data_manager | Building trading universe...
2025-12-31 17:10:11 | INFO     | data_manager | Universe built with 5 symbols: ['NVDA', 'TSLA', 'AAPL', 'GOOGL', 'AMZN']
2025-12-31 17:10:11 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:10:15 | INFO     | __main__ | Test iteration complete
2025-12-31 17:15:56 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:15:56 | INFO     | state_manager | State loaded from file
2025-12-31 17:15:56 | INFO     | __main__ | ============================================================
2025-12-31 17:15:56 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:15:56 | INFO     | __main__ | ============================================================
2025-12-31 17:15:56 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:15:57 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:15:57 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:16:02 | INFO     | __main__ | Test iteration complete
2025-12-31 17:17:52 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:17:52 | INFO     | state_manager | State loaded from file
2025-12-31 17:17:52 | INFO     | __main__ | ============================================================
2025-12-31 17:17:52 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:17:52 | INFO     | __main__ | ============================================================
2025-12-31 17:17:52 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:17:53 | INFO     | trading_engine | Account equity: $97,116.69
2025-12-31 17:17:53 | INFO     | trading_engine | Session initialized successfully
2025-12-31 17:17:58 | INFO     | __main__ | Test iteration complete
2025-12-31 17:18:39 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:18:39 | INFO     | state_manager | State loaded from file
2025-12-31 17:19:36 | WARNING  | email_notifier | Email notifications disabled - SMTP credentials not configured
2025-12-31 17:19:36 | INFO     | __main__ | ============================================================
2025-12-31 17:19:36 | INFO     | __main__ | RUNNING TEST ITERATION
2025-12-31 17:19:36 | INFO     | __main__ | ============================================================
2025-12-31 17:19:36 | INFO     | trading_engine | Initializing trading session...
2025-12-31 17:19:36 | INFO     | state_manager | State reset for new session
2025-12-31 17:19:37 | INFO     | trading_engine | Account equity: $97,116.69
